file_name,eid,class_mark,sort_class_mark,orientation
138352,MS-DAR-00265-000-00004.jpg,DAR 265: 8v,DAR 00265: 00008V,v
18967,MS-DAR-00265-000-00003.jpg,DAR 265: 8r,DAR 00265: 00008R,r
138351,MS-DAR-00265-000-00002.jpg,DAR 265: 7v,DAR 00265: 00007V,v
138350,MS-DAR-00265-000-00001.jpg,DAR 265: 7r,DAR 00265: 00007R,r
140384,MS-DAR-00255-000-00020.jpg,DAR 255: 10v,DAR 00255: 00010V,v
140383,MS-DAR-00255-000-00019.jpg,DAR 255: 10r,DAR 00255: 00010R,r
140382,MS-DAR-00255-000-00018.jpg,DAR 255: 9v,DAR 00255: 00009V,v
140381,MS-DAR-00255-000-00017.jpg,DAR 255: 9r,DAR 00255: 00009R,r
140380,MS-DAR-00255-000-00016.jpg,DAR 255: 8v,DAR 00255: 00008V,v
140379,MS-DAR-00255-000-00015.jpg,DAR 255: 8r,DAR 00255: 00008R,r
140378,MS-DAR-00255-000-00014.jpg,DAR 255: 7v,DAR 00255: 00007V,v
140377,MS-DAR-00255-000-00013.jpg,DAR 255: 7r,DAR 00255: 00007R,r
140376,MS-DAR-00255-000-00012.jpg,DAR 255: 6v,DAR 00255: 00006V,v
140375,MS-DAR-00255-000-00011.jpg,DAR 255: 6r,DAR 00255: 00006R,r
140389,MS-DAR-00255-000-00010.jpg,DAR 255: 5v,DAR 00255: 00005V,v
140374,MS-DAR-00255-000-00009.jpg,DAR 255: 5r,DAR 00255: 00005R,r
140388,MS-DAR-00255-000-00008.jpg,DAR 255: 4v,DAR 00255: 00004V,v
140373,MS-DAR-00255-000-00007.jpg,DAR 255: 4r,DAR 00255: 00004R,r
140387,MS-DAR-00255-000-00006.jpg,DAR 255: 3v,DAR 00255: 00003V,v
140372,MS-DAR-00255-000-00005.jpg,DAR 255: 3r,DAR 00255: 00003R,r
140386,MS-DAR-00255-000-00004.jpg,DAR 255: 2v,DAR 00255: 00002V,v
140371,MS-DAR-00255-000-00003.jpg,DAR 255: 2r,DAR 00255: 00002R,r
140385,MS-DAR-00255-000-00002.jpg,DAR 255: 1v,DAR 00255: 00001V,v
19034,MS-DAR-00255-000-00001.jpg,DAR 255: 1r,DAR 00255: 00001R,r
138483,MS-DAR-00209-00015-000-00167.jpg,DAR 209.15: 78v,DAR 00209.00015: 00078V,v
54356,MS-DAR-00209-00015-000-00166.jpg,DAR 209.15: 78r,DAR 00209.00015: 00078R,r
138482,MS-DAR-00209-00015-000-00165.jpg,DAR 209.15: 77v,DAR 00209.00015: 00077V,v
14648,MS-DAR-00209-00015-000-00164.jpg,DAR 209.15: 77r,DAR 00209.00015: 00077R,r
138481,MS-DAR-00209-00015-000-00163.jpg,DAR 209.15: 76v,DAR 00209.00015: 00076V,v
13845,MS-DAR-00209-00015-000-00162.jpg,DAR 209.15: 76r,DAR 00209.00015: 00076R,r
89184,MS-DAR-00209-00015-000-00161.jpg,DAR 209.15: 75bv,DAR 00209.00015: 00075bv,v
138397,MS-DAR-00209-00015-000-00160.jpg,DAR 209.15: 75br,DAR 00209.00015: 00075br,r
138396,MS-DAR-00209-00015-000-00159.jpg,DAR 209.15: 75av,DAR 00209.00015: 00075av,v
89182,MS-DAR-00209-00015-000-00158.jpg,DAR 209.15: 75ar,DAR 00209.00015: 00075ar,r
138395,MS-DAR-00209-00015-000-00157.jpg,DAR 209.15: 74bv,DAR 00209.00015: 00074bv,v
138394,MS-DAR-00209-00015-000-00156.jpg,DAR 209.15: 74br,DAR 00209.00015: 00074br,r
138393,MS-DAR-00209-00015-000-00155.jpg,DAR 209.15: 74av,DAR 00209.00015: 00074av,v
89179,MS-DAR-00209-00015-000-00154.jpg,DAR 209.15: 74ar,DAR 00209.00015: 00074ar,r
138480,MS-DAR-00209-00015-000-00153.jpg,DAR 209.15: 73v,DAR 00209.00015: 00073V,v
13921,MS-DAR-00209-00015-000-00152.jpg,DAR 209.15: 73r,DAR 00209.00015: 00073R,r
138479,MS-DAR-00209-00015-000-00151.jpg,DAR 209.15: 72v,DAR 00209.00015: 00072V,v
12759,MS-DAR-00209-00015-000-00150.jpg,DAR 209.15: 72r,DAR 00209.00015: 00072R,r
138478,MS-DAR-00209-00015-000-00149.jpg,DAR 209.15: 71v,DAR 00209.00015: 00071V,v
13608,MS-DAR-00209-00015-000-00148.jpg,DAR 209.15: 71r,DAR 00209.00015: 00071R,r
89178,MS-DAR-00209-00015-000-00147.jpg,DAR 209.15: 70v,DAR 00209.00015: 00070v,v
89177,MS-DAR-00209-00015-000-00146.jpg,DAR 209.15: 70r,DAR 00209.00015: 00070r,r
89176,MS-DAR-00209-00015-000-00145.jpg,DAR 209.15: 69v,DAR 00209.00015: 00069v,v
89175,MS-DAR-00209-00015-000-00144.jpg,DAR 209.15: 69r,DAR 00209.00015: 00069r,r
89173,MS-DAR-00209-00015-000-00143.jpg,DAR 209.15: 68v,DAR 00209.00015: 00068v,v
89172,MS-DAR-00209-00015-000-00142.jpg,DAR 209.15: 68r,DAR 00209.00015: 00068r,r
89169,MS-DAR-00209-00015-000-00141.jpg,DAR 209.15: 67v,DAR 00209.00015: 00067v,v
89170,MS-DAR-00209-00015-000-00140.jpg,DAR 209.15: 67r,DAR 00209.00015: 00067r,r
89167,MS-DAR-00209-00015-000-00139.jpg,DAR 209.15: 66v,DAR 00209.00015: 00066v,v
89166,MS-DAR-00209-00015-000-00138.jpg,DAR 209.15: 66r,DAR 00209.00015: 00066r,r
