,Identifier,RMSE
0,MS-DAR-00126-000-00077_south,5.0906901918162264e-24
1,MS-DAR-00070-000-00013_south,5.0906901918162264e-24
2,MS-DAR-00004-000-00380_north,5.0906901918162264e-24
3,MS-DAR-00004-000-00634_south,5.0906901918162264e-24
4,MS-DAR-00080-000-00298_north,5.0906901918162264e-24
5,MS-DAR-00126-000-00077_north,5.0906901918162264e-24
6,MS-DAR-00070-000-00299_north,5.0906901918162264e-24
7,MS-DAR-00027-00001-000-00199_north,5.0906901918162264e-24
8,MS-DAR-00209-00013-000-00003_north,5.0906901918162264e-24
9,MS-DAR-00049-000-00107_north,5.0906901918162264e-24
10,MS-DAR-00185-000-00256_south,5.0906901918162264e-24
11,MS-DAR-00070-000-00299_south,5.0906901918162264e-24
12,MS-DAR-00004-000-00161_south,5.0906901918162264e-24
13,MS-DAR-00113-000-00857_north,5.0906901918162264e-24
14,MS-DAR-00004-000-00380_south,5.0906901918162264e-24
15,MS-DAR-00209-00005-000-00181_south,5.0906901918162264e-24
16,MS-DAR-00205-00008-000-00136_south,5.0906901918162264e-24
17,MS-DAR-00049-000-00157_north,5.0906901918162264e-24
18,MS-DAR-00113-000-00781_south,5.0906901918162264e-24
19,MS-DAR-00053-00001-000-00254_north,5.0906901918162264e-24
20,MS-DAR-00209-00008-000-00024_south,5.0906901918162264e-24
21,MS-DAR-00027-00001-000-00199_south,5.0906901918162264e-24
22,MS-DAR-00113-000-00781_north,5.0906901918162264e-24
23,MS-DAR-00113-000-00857_south,5.0906901918162264e-24
24,MS-DAR-00209-00015-000-00085_north,5.0906901918162264e-24
25,MS-DAR-00004-000-00634_north,5.0906901918162264e-24
26,MS-DAR-00081-000-00180_south,5.0906901918162264e-24
27,MS-DAR-00209-00013-000-00003_south,5.0906901918162264e-24
28,MS-DAR-00049-000-00233_south,5.0906901918162264e-24
29,MS-DAR-00080-000-00298_south,5.0906901918162264e-24
30,MS-DAR-00049-000-00107_south,5.0906901918162264e-24
31,MS-DAR-00209-00015-000-00085_south,5.0906901918162264e-24
32,MS-DAR-00049-000-00233_north,5.0906901918162264e-24
33,MS-DAR-00009-000-00091_south,4.0775496950917235e-19
34,MS-DAR-00009-000-00085_south,4.614546357794913e-19
35,MS-DAR-00053-00001-000-00508_south,4.631046090885542e-19
36,MS-DAR-00083-000-00259_south,4.780987582302104e-19
37,MS-DAR-00209-00014-000-00189_south,5.123220975819651e-19
38,MS-DAR-00209-00014-000-00234_south,6.386476526243668e-19
39,MS-DAR-00053-00001-000-00498_south,7.088470531057675e-19
40,MS-DAR-00205-00007-000-00012_south,7.33967249194394e-19
41,MS-DAR-00209-00014-000-00119_south,1.0596474429826819e-18
42,MS-DAR-00185-000-00522_south,1.089946708363416e-18
43,MS-DAR-00049-000-00065_south,1.3316070681501671e-18
44,MS-DAR-00053-00001-000-00436_south,1.425942135161468e-18
45,MS-DAR-00209-00014-000-00145_south,1.5008266706232048e-18
46,MS-DAR-00185-000-00264_south,1.6135060222591798e-18
47,MS-DAR-00070-000-00187_south,1.643379469804452e-18
48,MS-DAR-00205-00007-000-00011_south,1.6975393900411734e-18
49,MS-DAR-00070-000-00033_south,2.2543342068282633e-18
50,MS-DAR-00209-00009-000-00101_south,2.308436956715797e-18
51,MS-DAR-00209-00014-000-00140_south,2.3354977707097153e-18
52,MS-DAR-00009-000-00035_south,2.7960134531692993e-18
53,MS-DAR-00209-00014-000-00295_south,3.1916805224242537e-18
54,MS-DAR-00209-00010-000-00158_south,3.3918614182191035e-18
55,MS-DAR-00209-00014-000-00183_south,3.829778567738877e-18
56,MS-DAR-00209-00014-000-00203_south,3.963535830163188e-18
57,MS-DAR-00209-00014-000-00202_south,4.6806881945245625e-18
58,MS-DAR-00209-00010-000-00130_south,4.7686935843290875e-18
59,MS-DAR-00209-00010-000-00064_south,5.356688037746316e-18
60,MS-DAR-00209-00014-000-00201_south,6.1836938880748435e-18
61,MS-DAR-00209-00014-000-00034_south,7.366014695592565e-18
62,MS-DAR-00209-00001-000-00047_south,7.69059366908615e-18
63,MS-DAR-00209-00001-000-00222_south,8.324978208400708e-18
64,MS-DAR-00209-00001-000-00221_south,1.0388375260019196e-17
65,MS-DAR-00209-00014-000-00118_south,1.1447859712471802e-17
66,MS-DAR-00209-00001-000-00271_south,1.2113691236390836e-17
67,MS-DAR-00209-00014-000-00141_south,1.4285377141485393e-17
