"Points:0","Points:1","Points:2"
345,601.5,0
344.5,602,0
346,601.5,0
347,601.5,0
348,601.5,0
349,601.5,0
350,601.5,0
350,601.5,0
327,602.5,0
326.5,603,0
328,602.5,0
329,602.5,0
330,602.5,0
331,602.5,0
332,602.5,0
333,602.5,0
334,602.5,0
335,602.5,0
336,602.5,0
337,602.5,0
338,602.5,0
339,602.5,0
340,602.5,0
341,602.5,0
342,602.5,0
343,602.5,0
344,602.5,0
326,603.5,0
325.5,604,0
325,604.5,0
324.5,605,0
324,605.5,0
323.5,606,0
323.5,607,0
323,607.5,0
322.5,608,0
322.5,609,0
322.5,610,0
322,610.5,0
321.5,611,0
321.5,612,0
321.5,613,0
321.5,614,0
321.5,615,0
321.5,616,0
321,616.5,0
320.5,617,0
320.5,618,0
320.5,619,0
320.5,620,0
320.5,621,0
320.5,622,0
320.5,623,0
320,623.5,0
319.5,624,0
319.5,625,0
319.5,626,0
319.5,627,0
319.5,628,0
319.5,629,0
319.5,630,0
319,630.5,0
318.5,631,0
318.5,632,0
318.5,633,0
318.5,634,0
318.5,635,0
318.5,636,0
318.5,637,0
318.5,638,0
318.5,639,0
318.5,640,0
318.5,641,0
318,641.5,0
317.5,642,0
317.5,643,0
317.5,644,0
317.5,645,0
317.5,646,0
317.5,647,0
317.5,648,0
317,648.5,0
316.5,649,0
316.5,650,0
316.5,651,0
316.5,652,0
316.5,653,0
316.5,654,0
316.5,655,0
316.5,656,0
316.5,657,0
316.5,658,0
316,658.5,0
315.5,659,0
315.5,660,0
315.5,661,0
315.5,662,0
315.5,663,0
315.5,664,0
315,664.5,0
314.5,665,0
314.5,666,0
315,666.5,0
315.5,667,0
315.5,668,0
315,668.5,0
314.5,669,0
314.5,670,0
314.5,671,0
314.5,672,0
314.5,673,0
314.5,674,0
314.5,675,0
314.5,676,0
314.5,677,0
314.5,678,0
314,678.5,0
313.5,679,0
313.5,680,0
313.5,681,0
313.5,682,0
313.5,683,0
313.5,684,0
313,684.5,0
312.5,685,0
313,685.5,0
313.5,686,0
313.5,687,0
313.5,688,0
313,688.5,0
312.5,689,0
312.5,690,0
312.5,691,0
312.5,692,0
312.5,693,0
312.5,694,0
312.5,695,0
312.5,696,0
312.5,697,0
312,697.5,0
311.5,698,0
311.5,699,0
311.5,700,0
311.5,701,0
311.5,702,0
311.5,703,0
311.5,704,0
311.5,705,0
311.5,706,0
311,706.5,0
310.5,707,0
310.5,708,0
310.5,709,0
310.5,710,0
310.5,711,0
310.5,712,0
310.5,713,0
310,713.5,0
309.5,714,0
309.5,715,0
309.5,716,0
309.5,717,0
309.5,718,0
309.5,719,0
309.5,720,0
309,720.5,0
308.5,721,0
309,721.5,0
309.5,722,0
309.5,723,0
309.5,724,0
309,724.5,0
308.5,725,0
309,725.5,0
309.5,726,0
309.5,727,0
309.5,728,0
309.5,729,0
309,729.5,0
308.5,730,0
308.5,731,0
308.5,732,0
308.5,733,0
308.5,734,0
308,734.5,0
307.5,735,0
308,735.5,0
308.5,736,0
308.5,737,0
308.5,738,0
309,738.5,0
310,738.5,0
310.5,739,0
308,739.5,0
307.5,740,0
308.5,740,0
311,739.5,0
311.5,740,0
307.5,741,0
309,740.5,0
310,740.5,0
310.5,741,0
312,740.5,0
312.5,741,0
307.5,742,0
310.5,742,0
312.5,742,0
307.5,743,0
311,742.5,0
311.5,743,0
313,742.5,0
314,742.5,0
314.5,743,0
307.5,744,0
312,743.5,0
312.5,744,0
315,743.5,0
315.5,744,0
307,744.5,0
306.5,745,0
313,744.5,0
313.5,745,0
316,744.5,0
317,744.5,0
318,744.5,0
318.5,745,0
306.5,746,0
314,745.5,0
315,745.5,0
316,745.5,0
316.5,746,0
319,745.5,0
320,745.5,0
321,745.5,0
321.5,746,0
306.5,747,0
317,746.5,0
318,746.5,0
318.5,747,0
322,746.5,0
322.5,747,0
306.5,748,0
319,747.5,0
320,747.5,0
321,747.5,0
321.5,748,0
322.5,748,0
327,747.5,0
326.5,748,0
327.5,748,0
306.5,749,0
321.5,749,0
323,748.5,0
323.5,749,0
326,748.5,0
325.5,749,0
327.5,749,0
306.5,750,0
322,749.5,0
322.5,750,0
324,749.5,0
324.5,750,0
325.5,750,0
327.5,750,0
306.5,751,0
322.5,751,0
324.5,751,0
326,750.5,0
326.5,751,0
327.5,751,0
306.5,752,0
323,751.5,0
323.5,752,0
325,751.5,0
326,751.5,0
328,751.5,0
328.5,752,0
306,752.5,0
305.5,753,0
323.5,753,0
328.5,753,0
305.5,754,0
324,753.5,0
325,753.5,0
326,753.5,0
327,753.5,0
327.5,754,0
328.5,754,0
305.5,755,0
328,754.5,0
305.5,756,0
305.5,757,0
305.5,758,0
305.5,759,0
305.5,760,0
305.5,761,0
305.5,762,0
305,762.5,0
304.5,763,0
304.5,764,0
304.5,765,0
304.5,766,0
304.5,767,0
304.5,768,0
304,768.5,0
303.5,769,0
303.5,770,0
303.5,771,0
303.5,772,0
303.5,773,0
303.5,774,0
303.5,775,0
303.5,776,0
303,776.5,0
302.5,777,0
302.5,778,0
302.5,779,0
302.5,780,0
302.5,781,0
302.5,782,0
302.5,783,0
302.5,784,0
302.5,785,0
302,785.5,0
301.5,786,0
301.5,787,0
301.5,788,0
301.5,789,0
301.5,790,0
301.5,791,0
301.5,792,0
301.5,793,0
301.5,794,0
301,794.5,0
300.5,795,0
300.5,796,0
300.5,797,0
300.5,798,0
300.5,799,0
300.5,800,0
300.5,801,0
300.5,802,0
300,802.5,0
299.5,803,0
299.5,804,0
299.5,805,0
299.5,806,0
299.5,807,0
299.5,808,0
299.5,809,0
299,809.5,0
298.5,810,0
298.5,811,0
298.5,812,0
298.5,813,0
298.5,814,0
298.5,815,0
298.5,816,0
298.5,817,0
298,817.5,0
297.5,818,0
297.5,819,0
297.5,820,0
297.5,821,0
297.5,822,0
297.5,823,0
297.5,824,0
297,824.5,0
296.5,825,0
296.5,826,0
296.5,827,0
296.5,828,0
296.5,829,0
296.5,830,0
296.5,831,0
296,831.5,0
295.5,832,0
295.5,833,0
295.5,834,0
295.5,835,0
295.5,836,0
295,836.5,0
294.5,837,0
294.5,838,0
294.5,839,0
294.5,840,0
294.5,841,0
294.5,842,0
294.5,843,0
294.5,844,0
294.5,845,0
294.5,846,0
294.5,847,0
294,847.5,0
293.5,848,0
293.5,849,0
293.5,850,0
293.5,851,0
293.5,852,0
293.5,853,0
293.5,854,0
293.5,855,0
293,855.5,0
292.5,856,0
292.5,857,0
292.5,858,0
292.5,859,0
292.5,860,0
292,860.5,0
291.5,861,0
291.5,862,0
291.5,863,0
291.5,864,0
291.5,865,0
291.5,866,0
291.5,867,0
291,867.5,0
290.5,868,0
290.5,869,0
290.5,870,0
290.5,871,0
290.5,872,0
290.5,873,0
290,873.5,0
289.5,874,0
289.5,875,0
289.5,876,0
289.5,877,0
289.5,878,0
289.5,879,0
289.5,880,0
289,880.5,0
288.5,881,0
288.5,882,0
288.5,883,0
288.5,884,0
288.5,885,0
288.5,886,0
288.5,887,0
288,887.5,0
287.5,888,0
287.5,889,0
287.5,890,0
287.5,891,0
287.5,892,0
287.5,893,0
287,893.5,0
286.5,894,0
286.5,895,0
286.5,896,0
286.5,897,0
286.5,898,0
286.5,899,0
286.5,900,0
286,900.5,0
285.5,901,0
285.5,902,0
285.5,903,0
285.5,904,0
285.5,905,0
285.5,906,0
285,906.5,0
284.5,907,0
284.5,908,0
284.5,909,0
284.5,910,0
284.5,911,0
284.5,912,0
284.5,913,0
284.5,914,0
284.5,915,0
284,915.5,0
283.5,916,0
283.5,917,0
283.5,918,0
283.5,919,0
283.5,920,0
283.5,921,0
283.5,922,0
283,922.5,0
282.5,923,0
282.5,924,0
282.5,925,0
282.5,926,0
282.5,927,0
282,927.5,0
281.5,928,0
281.5,929,0
281.5,930,0
281.5,931,0
281.5,932,0
281.5,933,0
281.5,934,0
281.5,935,0
281,935.5,0
280.5,936,0
280.5,937,0
280.5,938,0
280.5,939,0
280.5,940,0
280.5,941,0
280.5,942,0
280.5,943,0
280.5,944,0
280,944.5,0
279.5,945,0
279.5,946,0
279.5,947,0
279.5,948,0
279.5,949,0
279.5,950,0
279,950.5,0
278.5,951,0
278.5,952,0
278.5,953,0
278.5,954,0
278.5,955,0
278.5,956,0
278.5,957,0
278,957.5,0
277.5,958,0
277.5,959,0
277.5,960,0
277.5,961,0
277.5,962,0
277,962.5,0
276.5,963,0
276.5,964,0
276.5,965,0
276.5,966,0
276.5,967,0
276.5,968,0
276.5,969,0
276.5,970,0
276,970.5,0
275.5,971,0
275.5,972,0
275.5,973,0
275.5,974,0
275.5,975,0
275.5,976,0
275.5,977,0
275.5,978,0
275,978.5,0
274.5,979,0
274.5,980,0
274.5,981,0
274.5,982,0
274.5,983,0
274.5,984,0
274.5,985,0
274,985.5,0
273.5,986,0
273.5,987,0
273.5,988,0
273.5,989,0
273.5,990,0
273.5,991,0
273,991.5,0
272.5,992,0
272.5,993,0
272.5,994,0
272.5,995,0
272.5,996,0
272,996.5,0
271.5,997,0
271.5,998,0
271.5,999,0
271.5,1000,0
271.5,1001,0
271.5,1002,0
271.5,1003,0
271.5,1004,0
271.5,1005,0
271,1005.5,0
270.5,1006,0
270.5,1007,0
270.5,1008,0
270.5,1009,0
270.5,1010,0
270,1010.5,0
269.5,1011,0
269.5,1012,0
269.5,1013,0
269.5,1014,0
269.5,1015,0
269.5,1016,0
269,1016.5,0
268.5,1017,0
268.5,1018,0
268.5,1019,0
268.5,1020,0
268.5,1021,0
268.5,1022,0
268.5,1023,0
268.5,1024,0
268.5,1025,0
268,1025.5,0
267.5,1026,0
267.5,1027,0
267.5,1028,0
267.5,1029,0
267.5,1030,0
267.5,1031,0
267,1031.5,0
266.5,1032,0
266.5,1033,0
266.5,1034,0
266.5,1035,0
266.5,1036,0
266,1036.5,0
265.5,1037,0
265.5,1038,0
265.5,1039,0
265.5,1040,0
265.5,1041,0
265,1041.5,0
264.5,1042,0
264.5,1043,0
264.5,1044,0
264.5,1045,0
264.5,1046,0
264.5,1047,0
264,1047.5,0
263.5,1048,0
263.5,1049,0
263.5,1050,0
263.5,1051,0
263.5,1052,0
263.5,1053,0
263.5,1054,0
263,1054.5,0
262.5,1055,0
262.5,1056,0
262.5,1057,0
262.5,1058,0
262.5,1059,0
262.5,1060,0
262.5,1061,0
262,1061.5,0
261.5,1062,0
261.5,1063,0
261.5,1064,0
261.5,1065,0
261.5,1066,0
261.5,1067,0
261.5,1068,0
261,1068.5,0
260.5,1069,0
260.5,1070,0
260.5,1071,0
260.5,1072,0
260,1072.5,0
259.5,1073,0
259.5,1074,0
259.5,1075,0
259.5,1076,0
259.5,1077,0
259.5,1078,0
259,1078.5,0
258.5,1079,0
258.5,1080,0
258.5,1081,0
258.5,1082,0
258.5,1083,0
258.5,1084,0
258,1084.5,0
257.5,1085,0
257.5,1086,0
257.5,1087,0
257.5,1088,0
257,1088.5,0
256.5,1089,0
256.5,1090,0
256.5,1091,0
256.5,1092,0
256.5,1093,0
256.5,1094,0
256.5,1095,0
256,1095.5,0
255.5,1096,0
255.5,1097,0
255.5,1098,0
255.5,1099,0
255.5,1100,0
255.5,1101,0
255.5,1102,0
255.5,1103,0
255.5,1104,0
255.5,1105,0
255.5,1106,0
256,1106.5,0
256.5,1107,0
256.5,1108,0
256.5,1109,0
256,1109.5,0
255.5,1110,0
255.5,1111,0
255.5,1112,0
256,1112.5,0
256.5,1113,0
256.5,1114,0
256.5,1115,0
256.5,1116,0
257,1116.5,0
257.5,1117,0
257.5,1118,0
256,1118.5,0
255.5,1119,0
257,1118.5,0
255.5,1120,0
256,1120.5,0
256.5,1121,0
256.5,1122,0
256.5,1123,0
256,1123.5,0
255.5,1124,0
255.5,1125,0
255.5,1126,0
255,1126.5,0
254.5,1127,0
254,1127.5,0
253.5,1128,0
253.5,1129,0
254,1129.5,0
254.5,1130,0
254.5,1131,0
254.5,1132,0
254.5,1133,0
254,1133.5,0
253.5,1134,0
253.5,1135,0
254,1135.5,0
254.5,1136,0
254.5,1137,0
254.5,1138,0
254.5,1139,0
254,1139.5,0
253.5,1140,0
253.5,1141,0
253.5,1142,0
253.5,1143,0
254,1143.5,0
254.5,1144,0
254.5,1145,0
254.5,1146,0
254,1146.5,0
253.5,1147,0
253.5,1148,0
253.5,1149,0
253.5,1150,0
253.5,1151,0
253,1151.5,0
252.5,1152,0
252.5,1153,0
252.5,1154,0
253,1154.5,0
253.5,1155,0
253.5,1156,0
253,1156.5,0
252.5,1157,0
252.5,1158,0
253,1158.5,0
253.5,1159,0
253.5,1160,0
253.5,1161,0
253.5,1162,0
253.5,1163,0
253.5,1164,0
253.5,1165,0
253.5,1166,0
253,1166.5,0
252.5,1167,0
252.5,1168,0
253,1168.5,0
253.5,1169,0
253.5,1170,0
253.5,1171,0
253.5,1172,0
253.5,1173,0
253.5,1174,0
253.5,1175,0
253.5,1176,0
253.5,1177,0
253.5,1178,0
253.5,1179,0
253.5,1180,0
253,1180.5,0
252.5,1181,0
252.5,1182,0
252.5,1183,0
252.5,1184,0
252.5,1185,0
252.5,1186,0
252,1186.5,0
251.5,1187,0
251.5,1188,0
251.5,1189,0
251.5,1190,0
251.5,1191,0
251.5,1192,0
251,1192.5,0
250.5,1193,0
250.5,1194,0
250.5,1195,0
250.5,1196,0
250,1196.5,0
249.5,1197,0
249.5,1198,0
249.5,1199,0
249,1199.5,0
248.5,1200,0
248.5,1201,0
249,1201.5,0
249.5,1202,0
249,1202.5,0
248.5,1203,0
248.5,1204,0
248.5,1205,0
247,1205.5,0
246.5,1206,0
248,1205.5,0
247,1206.5,0
247.5,1207,0
247.5,1208,0
247.5,1209,0
247.5,1210,0
247,1210.5,0
246.5,1211,0
246.5,1212,0
246.5,1213,0
246,1213.5,0
245.5,1214,0
245.5,1215,0
246,1215.5,0
246.5,1216,0
246,1216.5,0
245.5,1217,0
245.5,1218,0
245.5,1219,0
245.5,1220,0
245.5,1221,0
245.5,1222,0
245,1222.5,0
244.5,1223,0
244.5,1224,0
244.5,1225,0
244,1225.5,0
243.5,1226,0
243.5,1227,0
243.5,1228,0
243.5,1229,0
243.5,1230,0
243.5,1231,0
243,1231.5,0
242.5,1232,0
242.5,1233,0
242.5,1234,0
242.5,1235,0
242.5,1236,0
242,1236.5,0
241.5,1237,0
241.5,1238,0
241.5,1239,0
241.5,1240,0
241.5,1241,0
241,1241.5,0
240.5,1242,0
240.5,1243,0
240.5,1244,0
240.5,1245,0
240.5,1246,0
240.5,1247,0
240.5,1248,0
240,1248.5,0
239.5,1249,0
239.5,1250,0
239.5,1251,0
239,1251.5,0
238.5,1252,0
238.5,1253,0
238.5,1254,0
238.5,1255,0
238.5,1256,0
238.5,1257,0
238.5,1258,0
238,1258.5,0
237.5,1259,0
237.5,1260,0
237.5,1261,0
237.5,1262,0
237,1262.5,0
236.5,1263,0
236.5,1264,0
236.5,1265,0
236,1265.5,0
235.5,1266,0
235.5,1267,0
235.5,1268,0
235.5,1269,0
235,1269.5,0
234.5,1270,0
234.5,1271,0
234.5,1272,0
234.5,1273,0
234.5,1274,0
234,1274.5,0
233.5,1275,0
233.5,1276,0
234,1276.5,0
234.5,1277,0
234,1277.5,0
233.5,1278,0
233.5,1279,0
233,1279.5,0
232.5,1280,0
232.5,1281,0
233,1281.5,0
233.5,1282,0
233,1282.5,0
232.5,1283,0
232.5,1284,0
232.5,1285,0
232.5,1286,0
232.5,1287,0
232,1287.5,0
231.5,1288,0
231.5,1289,0
231.5,1290,0
231.5,1291,0
231.5,1292,0
231.5,1293,0
231,1293.5,0
230.5,1294,0
230.5,1295,0
230.5,1296,0
230.5,1297,0
230,1297.5,0
229.5,1298,0
229.5,1299,0
229.5,1300,0
229.5,1301,0
229,1301.5,0
228.5,1302,0
228.5,1303,0
228.5,1304,0
228.5,1305,0
228.5,1306,0
228.5,1307,0
